"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","ImmFactor"
"2355",52,100,50,75,0,91,100,47,22,2,51,31,13,98,29,"strongly unfaborable"
"2356",87,90,85,81,43,87,88,60,50,41,51,71,30,90,40,"unfavorable"
"2357",41,69,50,50,50,50,51,50,41,15,36,50,51,96,19,"unfavorable"
"2358",88,94,86,80,78,95,95,91,75,58,47,89,90,98,0,"lightly favorable"
"2359",60,96,45,49,50,76,98,23,1,2,32,3,10,99,98,"strongly unfaborable"
"2360",81,91,100,91,6,81,100,30,51,5,51,79,21,100,21,"lightly favorable"
"2361",82,69,69,71,73,68,70,47,68,51,17,76,45,67,50,"lightly favorable"
"2362",30,81,63,62,14,66,92,19,18,3,34,30,66,87,15,"strongly unfaborable"
"2363",78,68,79,57,49,81,88,81,55,60,22,73,29,85,57,"lightly favorable"
"2364",98,NA,NA,100,NA,100,100,98,NA,100,NA,99,NA,98,NA,NA
"2365",91,90,94,99,82,97,50,98,88,96,32,100,76,79,1,"favorable"
"2366",68,76,50,59,50,73,78,30,76,22,64,29,41,90,41,"favorable"
"2367",100,80,100,100,100,100,91,81,100,70,50,100,60,100,NA,"favorable"
"2368",81,81,48,48,50,67,96,NA,NA,NA,2,5,62,81,NA,NA
"2369",70,80,61,60,60,60,90,51,61,60,55,60,79,88,19,"lightly favorable"
"2370",22,91,0,14,1,51,48,86,2,1,3,80,1,46,11,"strongly unfaborable"
"2371",85,90,80,90,75,85,95,95,90,30,45,50,70,90,50,"favorable"
"2372",56,87,48,69,30,49,81,26,47,19,57,44,30,88,53,"unfavorable"
"2373",81,85,71,78,62,87,100,14,59,33,20,93,100,94,NA,"lightly favorable"
"2374",54,75,57,53,30,56,85,13,47,9,25,59,85,83,55,"unfavorable"
"2375",13,74,49,50,42,NA,77,NA,25,NA,NA,51,67,93,NA,"strongly unfaborable"
"2376",55,63,51,50,23,50,54,46,48,50,40,66,50,96,NA,"unfavorable"
"2377",97,48,85,88,75,94,87,95,NA,65,19,99,71,92,41,NA
"2378",65,74,61,39,21,28,100,27,40,1,4,9,100,100,14,"unfavorable"
"2379",93,97,92,80,40,73,98,44,63,25,59,70,44,88,55,"lightly favorable"
"2380",100,75,90,78,88,91,96,87,81,89,85,89,97,94,86,"favorable"
"2381",NA,52,49,61,66,60,73,8,51,22,3,13,10,66,8,"lightly favorable"
"2382",50,50,50,50,50,50,50,50,50,50,50,50,50,50,6,"unfavorable"
"2383",41,50,59,80,51,51,3,80,52,27,31,53,53,26,1,"lightly favorable"
"2384",78,75,79,84,21,90,96,49,60,51,44,28,51,67,3,"lightly favorable"
"2385",54,73,51,72,53,53,99,64,60,35,37,15,51,81,11,"lightly favorable"
"2386",55,54,53,53,53,91,75,31,32,2,22,80,26,94,30,"unfavorable"
"2387",41,93,59,75,NA,28,87,47,NA,NA,NA,NA,NA,90,NA,NA
"2388",77,79,24,64,3,71,83,22,26,71,28,3,51,75,NA,"unfavorable"
"2389",68,87,72,83,73,92,87,94,86,50,67,91,40,91,NA,"favorable"
"2390",10,NA,6,3,0,3,12,29,0,1,6,8,50,82,50,"strongly unfaborable"
"2391",51,50,49,52,41,81,96,7,20,2,3,7,3,80,NA,"strongly unfaborable"
"2392",50,50,50,50,16,50,50,29,5,51,6,1,12,53,NA,"strongly unfaborable"
"2393",100,94,93,NA,91,100,NA,30,42,83,31,53,53,100,NA,"unfavorable"
"2394",NA,91,NA,NA,NA,NA,23,31,NA,NA,NA,NA,NA,38,NA,NA
"2395",87,98,44,88,31,89,99,26,40,5,29,98,32,99,9,"unfavorable"
"2396",0,100,0,26,0,0,100,0,0,0,0,49,0,100,0,"strongly unfaborable"
"2397",100,NA,100,98,100,52,86,60,53,99,NA,NA,49,NA,NA,"lightly favorable"
"2398",85,90,90,90,50,90,90,90,85,81,50,91,80,95,NA,"favorable"
"2399",64,74,76,75,78,78,67,78,79,37,16,72,28,98,43,"favorable"
"2400",40,64,40,45,39,57,71,42,41,11,26,37,22,69,30,"unfavorable"
"2401",100,100,91,97,71,100,100,94,79,77,54,45,95,94,81,"favorable"
"2402",80,81,53,59,53,100,100,51,NA,49,50,51,NA,100,NA,NA
"2403",51,50,50,70,55,71,70,54,53,40,35,51,45,68,NA,"lightly favorable"
"2404",54,92,47,54,9,92,90,13,53,10,15,50,86,81,52,"lightly favorable"
"2405",100,70,50,35,9,51,99,71,40,80,31,3,50,71,NA,"unfavorable"
"2406",100,40,70,51,70,31,80,51,26,100,25,50,70,50,10,"unfavorable"
"2407",31,63,15,42,3,58,97,72,32,6,5,66,64,98,50,"unfavorable"
"2408",90,100,90,96,66,100,72,88,100,99,29,99,100,83,NA,"favorable"
"2409",53,53,51,53,53,53,53,41,51,27,11,53,56,60,NA,"lightly favorable"
"2410",52,73,5,2,0,10,97,6,0,0,1,0,10,83,NA,"strongly unfaborable"
"2411",100,100,30,72,1,100,100,100,4,2,1,100,31,81,49,"strongly unfaborable"
"2412",50,60,46,44,20,65,70,NA,41,10,30,50,70,81,50,"unfavorable"
"2413",NA,50,41,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,51,NA,NA
"2414",48,90,46,50,27,90,100,42,49,50,37,49,80,100,49,"unfavorable"
"2415",97,96,97,82,97,94,99,49,94,99,61,85,90,89,NA,"favorable"
"2416",62,52,51,50,40,50,51,50,41,41,50,51,50,75,50,"unfavorable"
"2417",98,93,89,89,60,96,97,72,71,48,75,68,75,94,9,"lightly favorable"
"2418",79,89,79,81,69,89,91,31,49,61,22,30,36,100,NA,"unfavorable"
"2419",100,100,99,99,100,100,99,78,78,52,76,99,74,100,76,"favorable"
"2420",69,69,56,51,62,78,61,67,63,69,55,65,25,72,51,"lightly favorable"
"2421",100,99,99,99,93,95,97,69,90,12,50,92,21,100,5,"favorable"
"2422",97,97,95,94,69,91,98,64,46,96,79,55,59,98,57,"unfavorable"
"2423",71,79,50,56,50,50,90,97,41,60,2,100,69,90,NA,"unfavorable"
"2424",99,97,99,97,81,85,NA,NA,99,98,4,94,NA,96,1,"favorable"
"2425",50,53,65,51,27,52,49,52,50,6,51,15,24,99,48,"unfavorable"
"2426",79,85,50,53,8,71,99,51,27,78,43,1,73,76,50,"unfavorable"
"2427",79,53,68,69,63,81,84,56,69,71,35,69,60,67,41,"lightly favorable"
"2428",50,50,50,50,40,50,50,30,50,0,4,50,30,94,20,"unfavorable"
"2429",79,79,70,80,51,81,70,90,69,80,50,51,49,99,51,"lightly favorable"
"2430",79,76,88,93,11,85,85,13,53,2,41,2,30,89,NA,"lightly favorable"
"2431",50,50,50,51,45,50,40,25,39,5,41,50,13,51,50,"unfavorable"
"2432",50,50,50,50,20,50,100,25,50,10,40,40,20,80,25,"unfavorable"
"2433",100,93,100,100,38,100,100,33,77,57,65,51,44,81,NA,"favorable"
"2434",60,88,54,61,47,91,94,18,40,3,50,50,26,99,27,"unfavorable"
"2435",100,100,100,100,100,100,100,5,100,81,51,79,79,51,52,"favorable"
"2436",51,79,51,51,3,50,61,60,21,0,5,80,39,89,NA,"strongly unfaborable"
"2437",32,80,29,47,12,27,87,14,9,1,31,4,49,100,9,"strongly unfaborable"
"2438",71,89,70,50,22,38,90,31,26,51,50,81,NA,100,NA,"unfavorable"
"2439",52,52,60,51,57,50,75,31,50,25,35,53,49,99,26,"unfavorable"
"2440",99,100,100,3,93,100,100,58,67,NA,NA,84,NA,78,NA,"lightly favorable"
"2441",99,99,100,100,97,100,98,98,100,51,49,100,77,100,53,"favorable"
"2442",9,72,55,64,16,80,75,19,36,2,52,27,49,71,NA,"unfavorable"
"2443",51,50,89,89,46,70,90,14,80,10,26,40,29,96,2,"favorable"
"2444",91,97,95,97,NA,NA,91,NA,NA,NA,NA,61,91,96,NA,NA
"2445",50,50,50,50,0,51,100,0,0,0,20,0,0,100,50,"strongly unfaborable"
"2446",85,90,84,70,50,94,100,51,85,0,51,80,61,100,51,"favorable"
"2447",70,90,69,79,82,88,NA,52,54,67,NA,97,89,95,NA,"lightly favorable"
"2448",71,100,100,69,25,99,74,66,41,60,60,64,53,100,69,"unfavorable"
"2449",45,85,36,59,5,78,90,6,50,2,28,69,6,81,70,"unfavorable"
"2450",76,73,81,78,75,69,31,92,76,66,6,88,77,78,9,"favorable"
"2451",10,76,46,76,NA,11,77,45,NA,9,NA,24,100,49,NA,NA
"2452",90,89,90,90,80,89,85,45,60,60,56,90,45,66,40,"lightly favorable"
"2453",75,92,75,52,55,63,94,77,37,75,13,29,65,85,15,"unfavorable"
"2454",94,50,52,53,29,64,81,100,87,70,85,14,53,49,64,"favorable"
"2455",47,90,35,51,55,96,96,2,40,NA,49,50,20,95,NA,"unfavorable"
"2456",50,50,50,50,17,50,51,57,51,16,11,50,100,48,50,"lightly favorable"
"2457",40,76,72,62,8,78,89,53,63,9,28,74,51,90,28,"lightly favorable"
"2458",40,88,13,56,16,81,43,85,25,21,22,73,89,78,3,"strongly unfaborable"
"2459",59,80,NA,NA,NA,NA,55,51,NA,NA,48,NA,60,79,NA,NA
"2460",60,78,73,78,24,65,65,21,35,3,39,49,21,77,61,"unfavorable"
"2461",41,100,51,91,36,100,99,13,82,15,54,68,43,100,16,"favorable"
"2462",89,90,75,90,81,90,90,21,30,0,51,50,6,85,80,"unfavorable"
"2463",88,88,88,90,79,93,78,28,86,87,8,88,89,77,92,"favorable"
"2464",76,74,78,79,78,79,78,48,33,58,21,78,88,76,NA,"unfavorable"
"2465",77,78,65,27,27,90,92,NA,33,90,53,28,36,63,18,"unfavorable"
"2466",40,84,40,69,20,86,95,9,43,6,20,50,50,80,54,"unfavorable"
"2467",51,90,81,92,59,62,90,32,62,1,82,60,30,98,92,"lightly favorable"
"2468",98,96,99,98,98,99,52,98,95,95,36,99,94,90,0,"favorable"
"2469",99,100,49,50,63,96,97,NA,19,5,11,97,0,100,NA,"strongly unfaborable"
"2470",70,70,70,60,70,70,70,60,90,70,25,70,70,75,5,"favorable"
"2471",88,78,83,87,48,80,88,50,89,55,25,72,50,92,36,"favorable"
"2472",98,80,83,87,98,90,100,89,100,91,59,100,53,87,8,"favorable"
"2473",51,50,45,50,52,50,50,48,30,2,50,50,51,81,50,"unfavorable"
"2474",84,91,73,82,0,94,77,3,0,0,1,78,3,90,5,"strongly unfaborable"
"2475",97,90,100,93,90,91,100,96,95,88,37,99,98,98,78,"favorable"
"2476",90,98,70,78,88,87,93,78,50,31,6,89,80,99,9,"unfavorable"
"2477",37,72,35,53,4,53,21,53,12,1,7,50,99,91,50,"strongly unfaborable"
"2478",10,43,36,32,41,42,74,34,63,55,69,71,58,34,59,"lightly favorable"
"2479",98,57,67,66,71,81,88,78,73,72,1,40,89,75,0,"lightly favorable"
"2480",50,50,50,50,50,50,50,91,50,50,40,50,79,81,0,"unfavorable"
"2481",57,64,66,63,50,65,68,56,46,6,66,38,84,95,NA,"unfavorable"
"2482",97,59,72,63,72,100,100,69,66,100,68,59,71,75,NA,"lightly favorable"
"2483",94,80,92,100,34,99,56,77,51,98,52,2,59,56,100,"lightly favorable"
"2484",50,50,49,50,27,60,95,40,50,0,20,5,5,95,NA,"unfavorable"
"2485",62,81,51,81,27,85,90,28,62,8,54,81,5,77,31,"lightly favorable"
"2486",87,50,49,50,59,50,91,50,56,86,50,50,41,29,50,"lightly favorable"
"2487",26,3,49,50,60,5,20,91,11,98,7,15,7,6,11,"strongly unfaborable"
"2488",76,81,51,51,49,50,100,42,50,48,50,45,51,86,50,"unfavorable"
"2489",86,91,30,91,3,81,96,32,21,7,55,50,70,100,NA,"strongly unfaborable"
"2490",53,71,43,51,45,73,63,50,50,31,40,25,53,78,41,"unfavorable"
"2491",72,73,57,60,64,92,100,64,63,4,36,63,21,98,NA,"lightly favorable"
"2492",50,50,50,50,50,50,50,50,50,50,50,50,65,75,50,"unfavorable"
"2493",59,72,50,61,40,53,65,19,1,3,59,50,44,82,47,"strongly unfaborable"
"2494",93,63,66,NA,NA,NA,94,NA,NA,57,45,31,NA,72,NA,NA
"2495",85,98,5,11,4,47,48,6,14,1,9,30,5,90,17,"strongly unfaborable"
"2496",44,89,50,50,51,100,90,1,50,0,NA,46,1,98,NA,"unfavorable"
"2497",100,100,92,92,NA,97,99,83,25,NA,NA,100,78,99,NA,"strongly unfaborable"
"2498",56,60,50,1,0,61,95,0,1,0,1,0,21,89,NA,"strongly unfaborable"
"2499",60,85,62,89,1,89,91,31,60,1,1,71,1,91,80,"lightly favorable"
"2500",27,100,59,67,13,16,98,6,31,3,9,47,58,97,50,"unfavorable"
"2501",100,99,100,99,20,100,99,50,40,3,50,50,6,99,50,"unfavorable"
"2502",91,78,76,78,78,79,88,NA,51,NA,NA,71,NA,91,NA,"lightly favorable"
"2503",84,85,44,90,69,100,97,60,68,82,28,95,1,100,NA,"lightly favorable"
"2504",98,78,52,52,NA,100,100,55,NA,NA,NA,52,80,100,NA,NA
"2505",79,79,70,70,0,99,100,1,50,0,1,0,70,90,NA,"unfavorable"
"2506",56,59,47,50,0,56,57,13,0,2,29,54,60,80,21,"strongly unfaborable"
"2507",66,80,84,88,59,100,83,51,8,14,9,100,69,95,36,"strongly unfaborable"
"2508",100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,"favorable"
"2509",51,96,51,52,40,74,99,82,24,31,NA,52,60,76,NA,"strongly unfaborable"
"2510",84,84,64,76,51,69,87,46,31,22,50,61,85,91,NA,"unfavorable"
"2511",39,34,62,100,2,33,68,49,53,0,35,2,35,44,3,"lightly favorable"
"2512",74,84,74,89,35,86,94,45,60,2,5,6,92,100,69,"lightly favorable"
"2513",100,100,100,100,NA,100,NA,100,100,100,9,100,87,37,NA,"favorable"
"2514",99,100,100,100,99,100,100,8,91,1,19,98,19,100,NA,"favorable"
"2515",53,98,NA,NA,5,55,99,NA,NA,3,NA,NA,NA,94,NA,NA
"2516",98,99,84,92,89,81,92,98,81,100,48,99,81,82,55,"favorable"
"2517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2518",70,89,79,76,77,81,90,61,75,54,7,77,11,63,NA,"lightly favorable"
"2519",65,93,68,78,37,89,93,51,61,21,83,91,NA,89,52,"lightly favorable"
"2520",24,69,62,37,17,74,47,52,33,10,32,78,44,79,24,"unfavorable"
"2521",83,89,56,67,19,91,87,44,49,11,51,92,7,90,47,"unfavorable"
"2522",73,NA,NA,73,73,73,NA,69,67,NA,71,73,70,NA,NA,"lightly favorable"
"2523",72,84,78,79,81,86,78,61,78,20,50,78,35,89,63,"favorable"
"2524",94,76,71,90,76,85,86,86,81,100,50,85,81,72,6,"favorable"
"2525",81,80,29,69,18,84,61,59,17,18,29,54,55,93,49,"strongly unfaborable"
"2526",100,97,NA,75,50,90,100,75,50,100,NA,95,90,90,NA,"unfavorable"
"2527",30,80,5,40,35,50,80,NA,5,20,20,50,50,50,50,"strongly unfaborable"
"2528",71,80,78,81,60,100,91,3,46,4,41,60,4,95,80,"unfavorable"
"2529",79,50,NA,49,40,42,74,68,47,31,32,71,36,22,NA,"unfavorable"
"2530",50,50,50,50,30,49,80,40,51,0,42,13,70,91,83,"lightly favorable"
"2531",53,56,39,66,12,56,38,3,0,1,8,2,7,92,13,"strongly unfaborable"
"2532",73,95,95,97,96,91,99,99,91,NA,56,91,100,98,NA,"favorable"
"2533",68,65,62,52,74,49,79,4,58,13,29,70,57,72,NA,"lightly favorable"
"2534",86,90,76,80,70,90,96,49,51,25,39,50,50,89,11,"lightly favorable"
"2535",98,99,97,75,19,100,94,25,54,3,27,2,30,97,58,"lightly favorable"
"2536",91,86,85,80,36,90,91,7,95,4,68,49,7,100,4,"favorable"
"2537",86,91,65,94,81,97,100,0,71,NA,0,95,NA,73,NA,"lightly favorable"
"2538",55,60,50,50,30,51,51,35,49,1,19,51,71,89,42,"unfavorable"
"2539",67,65,53,75,15,66,81,50,52,48,NA,74,47,78,NA,"lightly favorable"
"2540",58,91,46,70,53,53,94,53,NA,8,49,99,NA,96,NA,NA
"2541",99,NA,94,98,98,99,99,99,98,100,NA,96,97,NA,NA,"favorable"
"2542",82,81,80,81,81,80,80,81,81,64,45,81,60,85,12,"favorable"
"2543",65,84,78,65,48,77,82,38,48,9,22,52,88,92,13,"unfavorable"
"2544",80,70,70,80,54,74,80,70,63,80,20,80,80,61,NA,"lightly favorable"
"2545",29,NA,10,NA,8,53,93,NA,2,0,NA,53,2,95,0,"strongly unfaborable"
"2546",75,76,76,76,75,76,76,75,75,49,3,76,56,75,1,"lightly favorable"
"2547",80,100,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,100,NA,NA
"2548",91,98,99,96,24,97,99,47,94,2,62,81,52,99,NA,"favorable"
"2549",90,80,50,52,41,100,100,27,51,1,60,1,10,100,1,"lightly favorable"
"2550",80,98,3,35,2,49,97,57,6,48,6,89,3,88,NA,"strongly unfaborable"
"2551",100,72,59,56,NA,63,60,73,59,100,49,97,NA,60,13,"lightly favorable"
"2552",100,90,100,88,88,94,100,94,100,100,NA,100,84,92,NA,"favorable"
"2553",50,42,43,44,53,53,41,54,52,37,52,51,40,41,51,"lightly favorable"
"2554",99,100,100,99,98,99,100,31,100,99,99,99,11,100,NA,"favorable"
"2555",92,95,67,93,43,96,6,4,3,3,11,2,2,99,NA,"strongly unfaborable"
"2556",70,93,70,81,30,100,100,3,50,11,50,3,96,99,NA,"unfavorable"
"2557",100,97,42,99,100,100,98,100,22,11,NA,100,NA,98,NA,"strongly unfaborable"
"2558",65,75,NA,61,48,62,80,NA,NA,NA,63,NA,NA,100,NA,NA
"2559",51,50,50,50,50,50,75,40,65,57,1,50,8,4,24,"lightly favorable"
"2560",71,80,77,74,0,88,100,50,50,0,14,1,9,51,61,"unfavorable"
"2561",NA,NA,80,48,90,100,65,NA,47,1,10,10,25,65,NA,"unfavorable"
"2562",85,51,74,28,73,95,99,9,91,81,3,0,5,30,11,"favorable"
"2563",90,72,66,84,54,66,97,75,50,81,13,63,48,71,NA,"unfavorable"
"2564",75,83,66,58,33,90,99,51,30,2,24,55,47,92,NA,"unfavorable"
"2565",69,65,62,60,68,59,58,64,73,59,64,66,63,61,66,"lightly favorable"
"2566",76,71,79,66,70,91,67,93,67,75,6,95,91,16,3,"lightly favorable"
"2567",29,50,31,50,31,50,48,36,63,20,0,55,78,99,6,"lightly favorable"
"2568",81,92,81,80,70,87,100,54,66,30,51,9,98,100,59,"lightly favorable"
"2569",NA,97,97,97,NA,96,99,NA,NA,NA,99,NA,50,98,NA,NA
"2570",52,50,51,51,41,50,50,33,50,3,34,25,32,99,10,"unfavorable"
"2571",75,75,75,75,64,75,75,43,70,26,6,75,73,92,50,"lightly favorable"
"2572",52,33,28,16,53,26,28,28,25,34,28,45,28,88,NA,"strongly unfaborable"
"2573",50,NA,50,50,50,50,25,90,50,46,NA,50,30,41,0,"unfavorable"
"2574",94,96,85,91,90,89,94,78,80,70,60,90,76,95,76,"favorable"
"2575",3,65,23,31,2,49,33,30,2,2,9,31,3,69,5,"strongly unfaborable"
"2576",20,100,24,84,1,100,100,26,2,0,50,51,17,98,NA,"strongly unfaborable"
"2577",NA,100,100,NA,NA,NA,100,NA,67,NA,NA,NA,NA,100,98,"lightly favorable"
"2578",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"unfavorable"
"2579",70,100,50,50,11,99,100,51,50,11,49,50,50,100,NA,"unfavorable"
"2580",0,79,10,40,0,54,59,0,0,0,10,6,1,100,NA,"strongly unfaborable"
"2581",75,77,76,99,79,75,63,52,64,23,NA,82,25,100,9,"lightly favorable"
"2582",1,51,0,0,0,50,50,51,0,0,NA,71,NA,69,NA,"strongly unfaborable"
"2583",88,78,66,78,7,83,75,11,79,86,3,61,85,88,NA,"favorable"
"2584",84,71,51,57,NA,NA,100,NA,49,97,NA,10,83,72,NA,"unfavorable"
"2585",96,69,85,80,85,80,85,87,88,95,11,88,96,11,6,"favorable"
"2586",20,16,8,50,0,50,51,0,0,0,1,0,22,40,27,"strongly unfaborable"
"2587",60,83,68,NA,1,NA,97,NA,1,1,2,NA,88,100,NA,"strongly unfaborable"
"2588",54,67,69,71,6,58,67,NA,31,NA,38,32,13,81,70,"unfavorable"
"2589",85,75,75,90,83,85,95,70,75,85,10,50,80,90,5,"lightly favorable"
"2590",66,66,54,69,3,94,77,3,55,0,50,59,2,87,60,"lightly favorable"
"2591",80,71,15,90,29,92,2,98,9,47,2,91,83,81,1,"strongly unfaborable"
"2592",100,100,81,86,NA,96,90,52,52,NA,3,100,2,82,NA,"lightly favorable"
"2593",23,39,22,29,28,17,17,10,12,59,30,22,20,51,31,"strongly unfaborable"
"2594",100,30,90,90,63,59,99,83,64,100,33,97,71,50,NA,"lightly favorable"
"2595",85,85,78,85,21,85,85,18,80,1,5,80,50,96,50,"favorable"
"2596",50,86,48,51,22,51,66,50,25,6,22,3,10,68,13,"strongly unfaborable"
"2597",100,100,100,98,14,98,98,94,46,73,37,55,97,98,NA,"unfavorable"
"2598",100,60,49,25,NA,82,51,50,53,98,NA,NA,91,100,76,"lightly favorable"
"2599",100,93,86,87,84,97,100,59,70,99,22,93,53,83,9,"lightly favorable"
"2600",43,79,34,59,1,50,63,30,3,1,50,38,45,100,81,"strongly unfaborable"
"2601",58,40,50,55,25,41,75,29,25,40,69,48,50,56,50,"strongly unfaborable"
"2602",70,70,70,50,2,70,90,50,19,0,9,70,50,100,6,"strongly unfaborable"
"2603",67,48,47,80,48,68,78,97,47,46,24,61,50,76,1,"unfavorable"
"2604",100,95,98,99,96,99,100,100,93,98,50,100,99,79,10,"favorable"
"2605",79,40,51,100,31,50,100,100,30,1,NA,11,NA,79,NA,"unfavorable"
"2606",80,90,73,80,52,80,93,72,68,70,9,78,80,99,19,"lightly favorable"
"2607",82,69,81,81,81,89,47,92,82,96,NA,90,47,81,NA,"favorable"
"2608",100,100,100,100,99,100,100,99,100,50,1,99,100,100,50,"favorable"
"2609",50,75,50,50,25,50,75,10,35,5,50,20,25,75,30,"unfavorable"
"2610",89,66,84,76,73,68,94,91,64,69,20,69,76,32,3,"lightly favorable"
"2611",80,80,31,80,50,50,100,50,6,0,30,4,10,80,NA,"strongly unfaborable"
"2612",72,63,100,72,100,97,73,100,71,62,5,50,67,6,1,"lightly favorable"
"2613",90,93,93,90,87,94,52,35,90,9,55,89,16,91,16,"favorable"
"2614",100,100,100,100,95,100,100,100,100,100,0,100,40,40,0,"favorable"
"2615",50,50,50,50,25,50,50,50,35,25,50,50,50,90,50,"unfavorable"
"2616",86,78,88,86,60,95,97,41,49,36,46,92,55,93,17,"unfavorable"
"2617",97,51,100,96,87,96,48,100,90,67,29,98,97,97,52,"favorable"
"2618",100,97,100,100,100,100,100,31,78,73,25,95,35,79,29,"favorable"
"2619",90,100,80,100,1,100,90,0,50,0,0,90,2,95,11,"unfavorable"
"2620",90,90,59,90,0,80,100,10,50,0,0,0,50,90,NA,"unfavorable"
"2621",74,70,81,78,64,50,70,52,55,40,20,56,56,80,50,"lightly favorable"
"2622",47,58,72,56,60,67,77,73,49,49,50,55,72,72,66,"unfavorable"
"2623",100,100,100,99,100,100,100,51,75,5,50,100,50,100,50,"lightly favorable"
"2624",51,60,50,57,31,50,75,50,48,2,15,45,50,78,NA,"unfavorable"
"2625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"2626",60,81,82,61,32,42,99,51,31,35,63,51,80,98,50,"unfavorable"
"2627",45,42,49,44,45,49,40,50,44,32,38,60,46,74,22,"unfavorable"
"2628",51,56,32,35,48,51,100,6,1,49,5,0,3,99,50,"strongly unfaborable"
"2629",100,100,100,100,100,100,100,100,90,100,0,100,50,75,0,"favorable"
"2630",NA,80,80,80,60,80,60,100,80,21,50,50,51,91,NA,"favorable"
"2631",84,55,100,69,16,86,100,2,28,4,2,5,22,68,81,"unfavorable"
"2632",94,94,80,94,94,95,89,93,91,98,52,28,91,94,51,"favorable"
"2633",70,92,57,78,1,99,52,52,0,0,1,100,NA,100,50,"strongly unfaborable"
"2634",87,9,52,60,41,61,92,0,19,4,0,48,5,3,0,"strongly unfaborable"
"2635",74,100,87,52,27,49,98,75,94,12,11,53,19,99,NA,"favorable"
"2636",0,100,51,100,51,53,100,0,50,0,NA,0,0,100,NA,"unfavorable"
"2637",100,100,100,100,75,100,100,56,97,21,89,50,61,96,86,"favorable"
"2638",99,99,97,100,27,100,100,27,45,51,52,4,98,99,50,"unfavorable"
"2639",70,52,50,51,75,52,95,65,76,30,2,52,47,94,NA,"favorable"
"2640",64,89,59,96,30,94,94,25,65,29,57,26,24,87,NA,"lightly favorable"
"2641",79,90,88,90,31,80,79,3,81,1,9,40,49,90,2,"favorable"
"2642",50,52,85,51,49,55,51,53,52,41,37,56,27,77,NA,"lightly favorable"
"2643",21,98,50,69,6,49,99,20,2,1,59,21,18,100,90,"strongly unfaborable"
"2644",59,69,75,81,38,47,53,2,65,29,3,49,88,59,50,"lightly favorable"
"2645",95,74,56,3,3,2,69,50,5,94,3,99,3,96,2,"strongly unfaborable"
"2646",100,98,99,99,100,99,100,100,100,NA,100,99,99,99,NA,"favorable"
"2647",28,90,44,79,50,90,68,27,29,8,19,88,9,72,33,"unfavorable"
"2648",40,49,52,43,41,42,44,42,40,35,51,40,44,41,50,"unfavorable"
"2649",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"2650",52,51,51,52,51,54,53,81,52,95,23,52,36,79,1,"lightly favorable"
"2651",72,78,71,70,52,98,47,95,76,66,42,72,50,72,0,"favorable"
"2652",73,66,60,61,50,69,71,59,51,40,32,75,75,53,53,"lightly favorable"
"2653",51,49,88,92,28,89,100,5,77,10,50,51,50,97,NA,"favorable"
"2654",91,99,95,88,86,90,88,90,71,50,51,90,73,96,NA,"lightly favorable"
"2655",91,72,46,95,22,100,96,36,50,3,1,99,81,81,NA,"unfavorable"
"2656",39,90,87,81,82,86,84,NA,85,NA,48,88,NA,NA,67,"favorable"
"2657",56,52,53,53,51,41,51,52,52,13,4,54,84,72,NA,"lightly favorable"
"2658",76,76,74,76,59,61,54,79,73,74,53,84,79,76,NA,"lightly favorable"
"2659",25,6,70,11,63,42,10,13,84,4,2,75,24,20,NA,"favorable"
"2660",85,74,83,81,74,84,95,18,63,71,66,48,28,88,NA,"lightly favorable"
"2661",82,41,66,52,37,20,85,100,2,98,18,3,52,35,20,"strongly unfaborable"
"2662",50,75,25,50,20,50,51,76,0,50,5,80,50,50,NA,"strongly unfaborable"
"2663",52,50,41,51,50,51,50,52,29,11,16,51,45,88,NA,"unfavorable"
"2664",52,100,52,61,28,94,78,19,6,8,10,5,84,83,16,"strongly unfaborable"
"2665",60,75,78,75,25,67,80,49,44,17,42,62,46,69,NA,"unfavorable"
"2666",100,100,100,99,99,99,98,99,98,82,100,98,100,98,98,"favorable"
"2667",79,96,82,82,84,92,88,99,88,92,49,99,18,94,52,"favorable"
"2668",93,100,84,76,89,94,95,50,42,73,24,99,50,100,51,"unfavorable"
"2669",90,70,86,86,41,84,91,74,37,48,19,84,31,57,59,"unfavorable"
"2670",71,99,70,88,1,100,69,50,10,0,50,59,69,90,51,"strongly unfaborable"
"2671",87,55,39,25,41,72,73,29,31,79,61,36,65,69,54,"unfavorable"
"2672",99,99,100,77,51,99,100,28,76,3,50,51,1,98,3,"favorable"
"2673",97,98,98,98,92,100,41,98,94,91,0,99,88,64,0,"favorable"
"2674",100,90,100,100,100,100,75,47,100,31,11,85,41,100,0,"favorable"
