"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","ImmFactor"
"75",80,80,80,80,51,80,80,41,50,1,51,32,61,100,31,"unfavorable"
"76",90,58,88,88,53,91,3,90,75,66,6,98,81,42,3,"lightly favorable"
"77",50,50,50,50,50,51,50,75,75,50,25,50,75,75,0,"lightly favorable"
"78",97,99,100,94,93,99,12,81,66,35,2,100,88,94,NA,"lightly favorable"
"79",70,70,70,70,65,70,70,76,70,75,40,85,50,90,2,"lightly favorable"
"80",50,50,50,50,0,50,99,0,50,0,50,50,25,100,50,"unfavorable"
"81",64,58,88,89,50,97,52,97,66,77,9,94,88,65,0,"lightly favorable"
"82",NA,100,52,57,11,55,100,12,53,10,50,53,4,100,51,"lightly favorable"
"83",69,71,59,61,61,59,70,71,61,56,31,50,60,71,2,"lightly favorable"
"84",70,71,70,70,40,70,31,61,75,40,41,55,31,79,6,"lightly favorable"
"85",49,51,50,91,51,51,22,51,74,20,31,50,51,90,NA,"lightly favorable"
"86",58,57,57,57,39,78,80,9,NA,5,40,8,5,91,56,NA
"87",57,88,62,54,3,92,77,3,18,1,16,49,17,96,1,"strongly unfaborable"
"88",94,50,94,94,94,94,65,89,94,100,44,94,85,59,0,"favorable"
"89",100,25,100,52,50,56,1,50,50,50,0,100,100,100,0,"unfavorable"
"90",67,62,100,78,NA,97,99,NA,74,NA,60,47,13,77,25,"lightly favorable"
"91",95,50,92,93,96,92,4,98,96,90,25,100,97,76,NA,"favorable"
"92",61,89,70,99,21,95,99,1,76,3,21,51,50,51,99,"favorable"
"93",100,100,25,99,2,100,100,2,11,NA,2,50,1,100,11,"strongly unfaborable"
"94",91,NA,87,92,72,92,NA,66,92,NA,NA,71,95,NA,5,"favorable"
"95",48,89,19,50,4,48,2,59,28,28,33,53,30,75,3,"unfavorable"
"96",69,96,52,100,29,100,100,29,40,0,49,90,79,100,20,"unfavorable"
"97",75,75,75,75,75,75,65,75,75,75,25,75,75,80,0,"lightly favorable"
"98",70,70,70,70,70,70,70,90,70,65,19,70,70,70,5,"lightly favorable"
"99",81,84,88,81,81,77,41,100,79,100,30,89,80,80,0,"favorable"
"100",77,52,69,78,66,69,20,80,81,78,16,99,90,29,1,"favorable"
"101",98,33,NA,79,77,80,NA,NA,73,89,6,89,65,19,1,"lightly favorable"
"102",100,100,100,100,100,100,100,100,100,100,63,100,99,100,2,"favorable"
